"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl.isXplainOnlyMode() BasicNoPutResultSetImpl.java","3763","< 0.1","2516","582720"
"org.apache.derby.impl.jdbc.EmbedResultSet.checkOnRow() EmbedResultSet.java","3754","< 0.1","3754","1746107"
"org.apache.derby.impl.store.raw.data.BaseContainerHandle.getPage(long) BaseContainerHandle.java","3611","0.1","162","24457"
"org.apache.derby.impl.drda.DRDAConnThread.writeSQLCAGRP(byte[], int, long, long) DRDAConnThread.java","3493","< 0.1","1296","292570"
"org.apache.derby.iapi.types.DataType.readExternalFromArray(ArrayInputStream) DataType.java","3430","< 0.1","1286","296099"
"org.apache.derby.impl.store.raw.data.FileContainer.getPage(BaseContainerHandle, long, boolean) FileContainer.java","3394","0.1","106","24457"
"org.apache.derby.impl.sql.catalog.DataDictionaryImpl.addDescriptor(TupleDescriptor, TupleDescriptor, int, boolean, TransactionController) DataDictionaryImpl.java","3346","14","0","235"
"org.apache.derby.impl.sql.catalog.TabInfoImpl.insertRow(ExecRow, TransactionController) TabInfoImpl.java","3292","14","0.5","235"
"org.apache.derby.impl.sql.catalog.TabInfoImpl.insertRowListImpl(ExecRow[], TransactionController, RowLocation[]) TabInfoImpl.java","3292","14","4","235"
"org.apache.derby.impl.drda.DDMWriter.writeInt(int) DDMWriter.java","3245","< 0.1","1304","299264"
"org.apache.derby.impl.sql.compile.StatementNode.generate(ByteArray) StatementNode.java","3231","27","4","118"
"org.apache.derby.impl.jdbc.EmbedConnection.checkIfClosed() EmbedConnection.java","3225","< 0.1","1291","296873"
"org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext.getStatementContext() GenericLanguageConnectionContext.java","3220","< 0.1","1296","297040"
"org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext.pushStatementContext(boolean, boolean, String, ParameterValueSet, boolean, long) GenericLanguageConnectionContext.java","3213","< 0.1","1932","291972"
"org.apache.derby.iapi.services.context.ContextService.setCurrentContextManager(ContextManager) ContextService.java","3201","< 0.1","1280","293892"
"org.apache.derby.impl.services.locks.ConcurrentLockSet.zeroDurationLockObject(CompatibilitySpace, Lockable, Object, int) ConcurrentLockSet.java","3191","< 0.1","1293","291957"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.restoreContextStack() TransactionResourceImpl.java","3181","< 0.1","1275","293893"
"org.apache.derby.impl.store.access.conglomerate.GenericScanController.positionAtResumeScan(RowPosition) GenericScanController.java","3173","0.1","81","18130"
"org.apache.derby.impl.store.raw.data.BasePage.getRecordHandleAtSlot(int) BasePage.java","3157","< 0.1","1903","291767"
"org.apache.derby.impl.store.access.conglomerate.OpenConglomerate.latchPageAndRepositionScan(RowPosition) OpenConglomerate.java","3093","0.1","161","18137"
"org.apache.derby.impl.sql.catalog.DataDictionaryImpl.getDescriptorViaIndex(int, ExecIndexRow, ScanQualifier[][], TabInfoImpl, TupleDescriptor, List, Class, boolean, int, TransactionController) DataDictionaryImpl.java","3077","3","3","801"
"org.apache.derby.impl.sql.compile.DMLModStatementNode.verifyTargetTable() DMLModStatementNode.java","3059","25","2","118"
"org.apache.derby.impl.sql.execute.InsertResultSet.open() InsertResultSet.java","2992","25","0","118"
"org.apache.derby.impl.store.access.RAMTransaction.createConglomerate(String, DataValueDescriptor[], ColumnOrdering[], int[], Properties, int) RAMTransaction.java","2885","12","4","235"
"org.apache.derby.impl.store.access.heap.HeapConglomerateFactory.createConglomerate(TransactionManager, int, long, DataValueDescriptor[], ColumnOrdering[], int[], Properties, int) HeapConglomerateFactory.java","2801","11","2","235"
"org.apache.derby.impl.store.access.heap.Heap.create(Transaction, int, long, DataValueDescriptor[], ColumnOrdering[], int[], Properties, int, int) Heap.java","2792","11","9","235"
"org.apache.derby.impl.sql.catalog.DataDictionaryImpl.getSchemaDescriptor(String, TransactionController, boolean) DataDictionaryImpl.java","2776","3","4","732"
"org.apache.derby.impl.sql.catalog.DataDictionaryImpl.locateSchemaRow(String, TransactionController) DataDictionaryImpl.java","2772","3","9","732"
