"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.fillReadBuffer(boolean, ByteBuffer) NioEndpoint.java","6","< 0.1","0.4","76"
"org.springframework.web.context.request.ServletWebRequest.checkNotModified(long) ServletWebRequest.java","6","0.1","0.1","37"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.addContentDispositionHeader(ServletServerHttpRequest, ServletServerHttpResponse) AbstractMessageConverterMethodProcessor.java","6","0.1","1","37"
"org.springframework.web.context.request.ServletWebRequest.checkNotModified(String, long) ServletWebRequest.java","5","0.1","0.7","37"
"javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java","5","0.1","2","34"
"org.apache.catalina.connector.Request.setAttribute(String, Object) Request.java","5","< 0.1","4","743"
"org.apache.tomcat.util.http.parser.HttpParser.readHostDomainName(Reader) HttpParser.java","5","0.1","2","38"
"org.springframework.web.util.ServletRequestPathUtils$ServletRequestPath.parse(HttpServletRequest) ServletRequestPathUtils.java","5","0.1","0.6","37"
"org.apache.coyote.http11.Http11Processor.finishResponse() Http11Processor.java","5","0.1","0.1","38"
"org.apache.catalina.core.ApplicationFilterFactory.createFilterChain(ServletRequest, Wrapper, Servlet) ApplicationFilterFactory.java","5","0.1","2","38"
"org.apache.coyote.http11.Http11OutputBuffer.end() Http11OutputBuffer.java","5","< 0.1","0.3","76"
"org.apache.tomcat.util.http.ValuesEnumerator.nextElement() MimeHeaders.java","5","< 0.1","0.5","113"
"org.apache.tomcat.util.net.Acceptor.run() Acceptor.java","5","5","< 0.1","1"
"javax.management.openmbean.CompositeType.isValue(Object) CompositeType.java","5","0.1","0.3","33"
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.getProducibleMediaTypes(HttpServletRequest, Class, Type) AbstractMessageConverterMethodProcessor.java","5","0.1","2","37"
