"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.nio.CharBuffer.limit(int) CharBuffer.java","268","< 0.1","268","122394"
"org.apache.catalina.realm.RealmBase.findSecurityConstraints(Request, Context) RealmBase.java","267","0.3","34","868"
"sun.nio.ch.IOUtil.read(FileDescriptor, ByteBuffer, long, boolean, boolean, int, NativeDispatcher) IOUtil.java","265","0.1","35","1728"
"org.apache.coyote.http11.Http11InputBuffer.nextRequest() Http11InputBuffer.java","264","0.3","6","868"
"org.apache.tomcat.util.net.AbstractEndpoint.processSocket(SocketWrapperBase, SocketEvent, boolean) AbstractEndpoint.java","264","0.3","12","868"
"java.util.ResourceBundle.getBundle(String, Locale) ResourceBundle.java","256","0.2","9","868"
"org.apache.tomcat.util.http.MimeHeaders.values(String) MimeHeaders.java","254","< 0.1","22","4332"
"org.apache.tomcat.util.net.SocketWrapperBase.doWrite(boolean) SocketWrapperBase.java","239","0.2","7","868"
"java.nio.charset.CharsetDecoder.decode(ByteBuffer) CharsetDecoder.java","238","< 0.1","45","2604"
"org.apache.tomcat.util.http.MimeHeaderField.recycle() MimeHeaders.java","237","< 0.1","79","12144"
"java.util.ResourceBundle.getBundleImpl(String, Locale, Class, ResourceBundle$Control) ResourceBundle.java","235","0.2","4","868"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.getTask() ThreadPoolExecutor.java","234","0.2","6","868"
"org.apache.tomcat.util.http.ValuesEnumerator.<init>(MimeHeaders, String) MimeHeaders.java","231","< 0.1","23","4332"
"java.util.ResourceBundle.getBundleImpl(String, Locale, Class, ClassLoader, ResourceBundle$Control) ResourceBundle.java","230","0.2","4","868"
"org.apache.tomcat.util.threads.TaskQueue.take() TaskQueue.java","228","0.2","5","868"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.execute(Runnable) ThreadPoolExecutor.java","227","0.2","7","868"
"java.util.ResourceBundle.getBundleImpl(Module, Module, String, Locale, ResourceBundle$Control) ResourceBundle.java","226","0.2","24","868"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.doWrite(boolean, ByteBuffer) NioEndpoint.java","226","0.2","9","868"
