"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.util.stream.AbstractPipeline.copyIntoWithCancel(Sink, Spliterator) AbstractPipeline.java","43","< 0.1","7","660"
"org.cactoos.iterator.Mapped$1.hasNext() Mapped.java","43","< 0.1","5","1375"
"org.cactoos.iterator.IteratorEnvelope.hasNext() IteratorEnvelope.java","42","< 0.1","3","880"
"java.util.LinkedList$ListItr.next() LinkedList.java","40","< 0.1","27","6545"
"java.net.URI$Parser.parse(boolean) URI.java","37","0.1","4","220"
"java.lang.ThreadLocal$ThreadLocalMap.getEntry(ThreadLocal) ThreadLocal.java","36","< 0.1","36","15840"
"org.takes.misc.Href.<init>(URI) Href.java","34","0.3","1","110"
"sun.nio.ch.NioSocketImpl.ensureOpenAndConnected() NioSocketImpl.java","34","< 0.1","34","15235"
"org.cactoos.iterable.Filtered.lambda$new$0(Func, Iterable) Filtered.java","33","0.1","1","220"
"org.takes.rq.RqRequestLine$Base.matcher(String) RqRequestLine.java","33","0.3","0.8","110"
"java.util.regex.Pattern$BmpCharProperty.match(Matcher, int, CharSequence) Pattern.java","32","< 0.1","3","715"
"java.util.AbstractSequentialList.iterator() AbstractSequentialList.java","31","< 0.1","6","1595"
"java.util.stream.IntPipeline.forEachWithCancel(Spliterator, Sink) IntPipeline.java","31","< 0.1","9","660"
"sun.nio.ch.NioSocketImpl.timedAccept(FileDescriptor, FileDescriptor, InetSocketAddress[], long) NioSocketImpl.java","30","0.2","0","110"
"sun.nio.ch.SocketDispatcher.read0(FileDescriptor, long, int) SocketDispatcher.java (native)","30","< 0.1","30","7810"
"java.util.LinkedList.<init>() LinkedList.java","29","< 0.1","19","4840"
"java.util.regex.Pattern$GroupHead.match(Matcher, int, CharSequence) Pattern.java","29","< 0.1","1","330"
"java.util.Formatter.parse(String) Formatter.java","29","< 0.1","12","935"
"org.cactoos.text.FormattedText.<init>(Text, Locale, Collection) FormattedText.java","28","< 0.1","5","660"
"org.cactoos.bytes.BytesOf.lambda$new$0(CharSequence, Charset) BytesOf.java","28","< 0.1","25","10560"
"org.takes.rs.RsWithStatus.lambda$new$0(Response, int, CharSequence) RsWithStatus.java","28","0.5","0.2","55"
"java.net.URI$Parser.parseHierarchical(int, int) URI.java","28","0.1","4","220"
"org.takes.rs.RsWithStatus.head(Response, int, CharSequence) RsWithStatus.java","28","0.5","1","55"
"org.takes.rq.RqLive.newHeader(Opt, ByteArrayOutputStream) RqLive.java","26","0.1","4","220"
"org.takes.rs.RsWithHeader.<init>(Response, CharSequence, CharSequence) RsWithHeader.java","26","0.1","1","165"
